"Date","State","Employed_Persons"
"Feb-1980","Australian.Capital.Territory",96.6
"Mar-1980","New.South.Wales",2225.2
"Mar-1980","Victoria",1688.6
"Mar-1980","Queensland",929.5
"Mar-1980","South.Australia",559.9
"Mar-1980","Western.Australia",550.2
"Mar-1980","Tasmania",172.3
"Mar-1980","Northern.Territory",52.8
"Mar-1980","Australian.Capital.Territory",100.1
"Apr-1980","New.South.Wales",2205.9
"Apr-1980","Victoria",1676.4
"Apr-1980","Queensland",921.7
"Apr-1980","South.Australia",552.1
"Apr-1980","Western.Australia",546.3
"Apr-1980","Tasmania",171.2
"Apr-1980","Northern.Territory",51.5
"Apr-1980","Australian.Capital.Territory",99.8
"May-1980","New.South.Wales",2229.9
"May-1980","Victoria",1691.5
"May-1980","Queensland",931.2
"May-1980","South.Australia",548.3
"May-1980","Western.Australia",555
"May-1980","Tasmania",170.6
"May-1980","Northern.Territory",49.3
"May-1980","Australian.Capital.Territory",97.7
"Jun-1980","New.South.Wales",2218.4
"Jun-1980","Victoria",1687.8
"Jun-1980","Queensland",935.4
"Jun-1980","South.Australia",550.2
"Jun-1980","Western.Australia",553.8
"Jun-1980","Tasmania",171.7
"Jun-1980","Northern.Territory",53.4
"Jun-1980","Australian.Capital.Territory",99.2
"Jul-1980","New.South.Wales",2228.9
"Jul-1980","Victoria",1700.6
"Jul-1980","Queensland",944.1
"Jul-1980","South.Australia",552.2
"Jul-1980","Western.Australia",562.4
"Jul-1980","Tasmania",172
"Jul-1980","Northern.Territory",54.1
"Jul-1980","Australian.Capital.Territory",100
"Aug-1980","New.South.Wales",2206.3
"Aug-1980","Victoria",1703.1
"Aug-1980","Queensland",942.2
"Aug-1980","South.Australia",549.9
"Aug-1980","Western.Australia",554.6
"Aug-1980","Tasmania",172.5
"Aug-1980","Northern.Territory",53
"Aug-1980","Australian.Capital.Territory",99.8
"Sep-1980","New.South.Wales",2251.2
"Sep-1980","Victoria",1706.3
"Sep-1980","Queensland",957.5
"Sep-1980","South.Australia",551.6
"Sep-1980","Western.Australia",565
