Survey month,State and territory,Leave entitlements,Industry,Median Weekly Earnings,,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0.0,,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Mining,0.0,,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Manufacturing,"1,258.0",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services","1,660.5",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Construction,"1,190.2",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Wholesale trade,0.0,,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Retail trade,957.9,,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Accommodation and food services,844.9,,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,"Transport, postal and warehousing","1,322.2",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Information Media and telecommunications,"1,734.7",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Financial and insurance services,"1,117.3",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services","1,535.6",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,"Professional, scientific and technical services","1,669.1",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Administrative and support services,"1,410.0",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Public administration and safety,"1,698.3",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Education and training,"1,556.1",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Health care and social assistance,"1,201.0",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Arts and recreation services,"1,331.4",,,,,,,,,,,,,,
2014,   Australian Capital Territory,Total employees,Other services,"1,059.9",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,"Agriculture, forestry and fishing",916.1,,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Mining,"2,250.0",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Manufacturing,"1,157.3",,,,,,,,,,,,,,
